                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4989,                 2.0614,                 1.3524,                0.72933,                0.72412,                0.78887,                0.49428,                 1.2671,                 1.0655,                 1.2038,               0.070111,               0.003321,               0.003321
                      1,                 1.3679,                 1.1292,                 1.2486,                0.71983,                0.68403,                0.74398,                0.42848,                 1.4761,                 1.2294,                 1.3243,               0.039979,              0.0065226,              0.0065226
                      2,                 1.4103,                 1.1316,                 1.2699,                0.78816,                0.75174,                0.80665,                0.48911,                 1.3333,                 1.3184,                 1.2587,              0.0097152,              0.0095922,              0.0095922
                      3,                 1.4765,                 1.2617,                 1.3477,                 0.8442,                0.76396,                0.84286,                0.51113,                 1.3632,                 1.0823,                 1.2826,               0.009406,               0.009406,               0.009406
                      4,                 1.4742,                 1.1855,                 1.3303,                0.80902,                0.66012,                0.79397,                0.47845,                 1.4237,                 1.1887,                 1.3279,               0.009406,               0.009406,               0.009406
                      5,                  1.447,                 1.1142,                 1.3187,                0.77514,                0.67512,                0.74102,                0.44025,                 1.4638,                 1.2391,                   1.35,               0.009208,               0.009208,               0.009208
                      6,                 1.4008,                 1.0553,                 1.3004,                0.88872,                0.84558,                0.91507,                0.57055,                 1.3078,                0.85466,                 1.2508,                0.00901,                0.00901,                0.00901
                      7,                 1.3897,                  1.008,                  1.292,                 0.8645,                0.75663,                0.83837,                0.52229,                 1.3498,                 1.0193,                 1.2774,               0.008812,               0.008812,               0.008812
                      8,                 1.3642,                0.97276,                 1.2753,                0.89545,                0.86866,                0.92209,                0.58834,                 1.2403,                0.83759,                 1.2018,               0.008614,               0.008614,               0.008614
                      9,                 1.3519,                0.93511,                 1.2613,                0.93267,                0.90312,                0.94732,                0.61609,                  1.254,                0.71147,                  1.214,               0.008416,               0.008416,               0.008416
                     10,                  1.339,                0.91635,                 1.2653,                0.90849,                0.87945,                0.92715,                0.59839,                   1.25,                0.71947,                 1.2077,               0.008218,               0.008218,               0.008218
                     11,                 1.3253,                 0.8924,                 1.2459,                0.88034,                0.78345,                0.86065,                0.52944,                 1.3811,                0.89644,                 1.2726,                0.00802,                0.00802,                0.00802
                     12,                 1.2951,                0.88219,                 1.2476,                0.92604,                0.91432,                0.94427,                0.61093,                 1.2458,                0.69128,                 1.2078,               0.007822,               0.007822,               0.007822
                     13,                 1.2894,                0.85607,                  1.232,                0.93659,                0.92109,                 0.9492,                0.61706,                 1.2177,                 0.6428,                 1.1832,               0.007624,               0.007624,               0.007624
                     14,                 1.2863,                0.84463,                 1.2215,                0.92672,                0.91087,                0.95164,                0.63392,                 1.1821,                0.64046,                 1.1696,               0.007426,               0.007426,               0.007426
                     15,                  1.253,                0.81505,                 1.2038,                0.90659,                0.87469,                0.92909,                0.61841,                 1.1839,                0.69893,                  1.161,               0.007228,               0.007228,               0.007228
                     16,                 1.2506,                0.81043,                  1.213,                0.93957,                 0.8713,                0.93502,                0.61134,                 1.2586,                0.66917,                 1.2112,                0.00703,                0.00703,                0.00703
                     17,                 1.2401,                0.78547,                 1.2033,                0.94034,                0.91163,                0.95485,                0.63757,                  1.182,                0.62032,                 1.1597,               0.006832,               0.006832,               0.006832
                     18,                 1.2308,                0.78636,                 1.1911,                0.93455,                 0.9347,                0.95935,                0.66064,                 1.1439,                0.59341,                 1.1427,               0.006634,               0.006634,               0.006634
                     19,                 1.2158,                0.75773,                 1.1887,                 0.9458,                0.92243,                0.95862,                0.65674,                 1.1395,                0.59254,                 1.1434,               0.006436,               0.006436,               0.006436
                     20,                 1.2016,                0.75609,                  1.176,                0.94644,                 0.9291,                0.95065,                0.66012,                  1.135,                0.57484,                 1.1362,               0.006238,               0.006238,               0.006238
                     21,                 1.1929,                0.73444,                 1.1707,                0.95331,                0.92819,                0.96066,                0.65249,                 1.1404,                0.57406,                 1.1452,                0.00604,                0.00604,                0.00604
                     22,                  1.187,                0.72984,                 1.1653,                0.93517,                0.94071,                0.96266,                0.65945,                  1.145,                0.56618,                 1.1538,               0.005842,               0.005842,               0.005842
                     23,                 1.1916,                0.72892,                 1.1737,                0.94418,                0.92126,                 0.9542,                0.64734,                 1.1799,                0.58596,                 1.1575,               0.005644,               0.005644,               0.005644
                     24,                 1.1726,                0.70469,                 1.1533,                0.94866,                0.93027,                0.96017,                 0.6615,                 1.1411,                0.55504,                 1.1363,               0.005446,               0.005446,               0.005446
                     25,                 1.1728,                0.69473,                 1.1587,                0.94098,                0.94633,                0.96411,                0.67643,                 1.1074,                0.53889,                 1.1273,               0.005248,               0.005248,               0.005248
                     26,                 1.1431,                0.68121,                  1.154,                0.96139,                0.92587,                 0.9641,                0.66412,                 1.1367,                0.53826,                 1.1334,                0.00505,                0.00505,                0.00505
                     27,                 1.1368,                0.66779,                 1.1446,                0.93596,                0.94763,                 0.9657,                0.67979,                 1.0882,                0.52508,                 1.1084,               0.004852,               0.004852,               0.004852
                     28,                 1.1442,                0.66541,                 1.1442,                0.95452,                0.94444,                0.96702,                0.68409,                  1.078,                0.51541,                 1.1119,               0.004654,               0.004654,               0.004654
                     29,                 1.1277,                0.65631,                  1.132,                0.94917,                0.94876,                0.96879,                0.68955,                 1.0749,                0.50198,                 1.1142,               0.004456,               0.004456,               0.004456
                     30,                 1.1126,                0.64301,                 1.1343,                0.94497,                0.95086,                 0.9698,                0.68381,                  1.093,                0.50715,                 1.1196,               0.004258,               0.004258,               0.004258
                     31,                 1.1146,                0.64079,                 1.1339,                0.95526,                0.94567,                0.96296,                0.69158,                 1.0825,                0.49415,                 1.1099,                0.00406,                0.00406,                0.00406
                     32,                 1.0975,                0.63025,                  1.119,                 0.9627,                0.93843,                0.96848,                0.69433,                 1.0651,                0.49198,                 1.1009,               0.003862,               0.003862,               0.003862
                     33,                 1.0968,                0.62668,                 1.1208,                0.94163,                0.95469,                0.96959,                0.69675,                 1.0643,                0.49938,                 1.0958,               0.003664,               0.003664,               0.003664
                     34,                 1.0745,                0.60772,                 1.1033,                0.95293,                0.95059,                 0.9688,                0.69267,                 1.0703,                0.48617,                 1.0996,               0.003466,               0.003466,               0.003466
                     35,                 1.0695,                0.59971,                 1.1056,                0.96367,                0.94082,                0.96878,                0.69682,                 1.0607,                0.47309,                 1.0975,               0.003268,               0.003268,               0.003268
                     36,                 1.0547,                0.59738,                 1.1088,                0.96436,                 0.9384,                 0.9686,                0.69159,                 1.0604,                0.47805,                 1.0994,                0.00307,                0.00307,                0.00307
